,time,Long,Lat,hotdays,GDP_PPP,population,pc
0,2020-01-01 12:00:00,19.0,-31.0,10.75,430303400.0,3444.2827,124932.66
1,2020-01-01 12:00:00,19.0,-32.0,9.85,491061220.0,14223.354,34524.996
2,2020-01-01 12:00:00,20.0,-29.0,22.55,98284440.0,499.3299,196832.67
3,2020-01-01 12:00:00,20.0,-30.0,19.05,950720.44,546.80225,1738.6915
4,2020-01-01 12:00:00,20.0,-32.0,11.9,35677852.0,1978.3082,18034.527
5,2020-01-01 12:00:00,20.0,-33.0,6.6,767685760.0,46590.906,16477.158
6,2020-01-01 12:00:00,21.0,-28.0,22.25,7266547.5,128341.43,56.618877
7,2020-01-01 12:00:00,21.0,-29.0,24.1,1440181800.0,9345.287,154107.81
8,2020-01-01 12:00:00,21.0,-31.0,11.2,59696092.0,675.1965,88412.92
9,2020-01-01 12:00:00,21.0,-32.0,8.3,34061108.0,4233.934,8044.7896
10,2020-01-01 12:00:00,22.0,-28.0,24.9,8360365.5,11097.805,753.3351
11,2020-01-01 12:00:00,22.0,-29.0,23.35,186045570.0,14192.458,13108.763
12,2020-01-01 12:00:00,22.0,-31.0,13.75,108212400.0,8416.916,12856.538
13,2020-01-01 12:00:00,22.0,-32.0,11.4,25183200.0,4502.729,5592.875
14,2020-01-01 12:00:00,22.0,-33.0,5.1,126846700.0,98967.69,1281.6981
15,2020-01-01 12:00:00,23.0,-28.0,24.6,1116039200.0,33540.086,33274.785
16,2020-01-01 12:00:00,23.0,-29.0,24.3,107499176.0,4010.7844,26802.531
17,2020-01-01 12:00:00,23.0,-30.0,23.0,242402670.0,16551.406,14645.442
18,2020-01-01 12:00:00,23.0,-31.0,14.1,108620020.0,2319.3687,46831.72
19,2020-01-01 12:00:00,23.0,-32.0,12.35,462696860.0,11347.057,40776.816
20,2020-01-01 12:00:00,23.0,-33.0,5.5,48138384.0,34414.176,1398.7952
21,2020-01-01 12:00:00,24.0,-27.0,18.35,2234043600.0,120473.125,18543.918
22,2020-01-01 12:00:00,24.0,-29.0,21.25,367881630.0,41537.547,8856.6045
23,2020-01-01 12:00:00,24.0,-31.0,12.6,126336360.0,38790.383,3256.899
24,2020-01-01 12:00:00,24.0,-32.0,10.7,194512700.0,6208.8115,31328.492
25,2020-01-01 12:00:00,24.0,-33.0,6.15,153898320.0,13283.365,11585.793
26,2020-01-01 12:00:00,25.0,-28.0,19.3,2725423000.0,47295.383,57625.562
27,2020-01-01 12:00:00,26.0,-27.0,16.6,6126282000.0,125539.586,48799.605
28,2020-01-01 12:00:00,26.0,-30.0,11.95,2787809500.0,23324.361,119523.51
29,2020-01-01 12:00:00,27.0,-26.0,10.2,3988978000.0,482226.12,8272.007
30,2020-01-01 12:00:00,27.0,-27.0,13.7,5505278000.0,508261.72,10831.581
31,2020-01-01 12:00:00,27.0,-31.0,2.5,815595970.0,73493.35,11097.548
32,2020-01-01 12:00:00,28.0,-24.0,20.8,1282441500.0,49547.297,25883.178
33,2020-01-01 12:00:00,28.0,-25.0,17.8,1265486100.0,258387.78,4897.6235
34,2020-01-01 12:00:00,28.0,-26.0,8.25,130714714000.0,5647802.0,23144.352
35,2020-01-01 12:00:00,28.0,-27.0,8.4,6095140400.0,622421.75,9792.621
36,2020-01-01 12:00:00,29.0,-23.0,20.55,2180080600.0,395929.4,5506.236
37,2020-01-01 12:00:00,29.0,-24.0,10.9,5332028400.0,956118.44,5576.7446
38,2020-01-01 12:00:00,29.0,-26.0,5.0,23878257000.0,756717.5,31555.047
39,2020-01-01 12:00:00,29.0,-31.0,0.55,8236841000.0,678915.3,12132.3545
40,2020-01-01 12:00:00,30.0,-23.0,16.05,2501066200.0,311905.6,8018.664
41,2020-01-01 12:00:00,30.0,-24.0,6.35,11282598000.0,605581.44,18631.018
42,2020-01-01 12:00:00,30.0,-30.0,0.25,1458374500.0,902913.1,1615.1881
43,2020-01-01 12:00:00,31.0,-23.0,14.9,1323462900.0,286430.56,4620.5366
44,2020-01-01 12:00:00,31.0,-25.0,6.95,8020525600.0,975183.25,8224.634
45,2020-01-01 12:00:00,31.0,-28.0,3.55,3261673700.0,471026.75,6924.604
